term_id,term_taxonomy_id,liga
364,361,2026 - Clasificacion Zona 5
363,360,2026 - Clasificacion Zona 4
362,359,2026 - Clasificacion Zona 3
361,358,2026 - Clasificacion Zona 2
360,357,2026 - Clasificacion Zona 1
358,355,2025 - Clausura Zona C
357,354,2025 - Clausura Zona B
356,353,2025 - Clausura Zona A
202,199,2025 - Clasificacion Zona 6
201,198,2025 - Clasificacion Zona 5
200,197,2025 - Clasificacion Zona 4
199,196,2025 - Clasificacion Zona 3
198,195,2025 - Clasificacion Zona 2
197,194,2025 - Clasificacion Zona 1
355,352,2025 - Apertura Zona C
354,351,2025 - Apertura Zona B
353,350,2025 - Apertura Zona A
195,192,2024 - Clausura Zona C
194,191,2024 - Clausura Zona B
193,190,2024 - Clausura Zona A
187,184,2024 - Clasificacion Zona F
186,183,2024 - Clasificacion Zona E
185,182,2024 - Clasificacion Zona D
184,181,2024 - Clasificacion Zona C
183,180,2024 - Clasificacion Zona B
182,179,2024 - Clasificacion Zona A
128,125,2024 - Campeon C
127,124,2024 - Campeon B
126,123,2024 - Campeon A
192,189,2024 - Apertura - Zona C
191,188,2024 - Apertura - Zona B
190,187,2024 - Apertura - Zona A
131,128,2024 - 3er puesto C
130,127,2024 - 3er puesto B
129,126,2024 - 3er puesto A
176,173,2023 - Clausura Zona C
177,174,2023 - Clausura Zona B
178,175,2023 - Clausura Zona A
171,168,2023 - Clasificacion Zona 6
170,167,2023 - Clasificacion Zona 5
169,166,2023 - Clasificacion Zona 4
168,165,2023 - Clasificacion Zona 3
167,164,2023 - Clasificacion Zona 2
166,163,2023 - Clasificacion Zona 1
175,172,2023 - Apertura Zona C
174,171,2023 - Apertura Zona B
173,170,2023 - Apertura Zona A
162,159,2022 - Clausura Zona C
161,158,2022 - Clausura Zona B
160,157,2022 - Clausura Zona A
154,151,2022 - Clasificacion Zona 5
153,150,2022 - Clasificacion Zona 4
152,149,2022 - Clasificacion Zona 3
151,148,2022 - Clasificacion Zona 2
150,147,2022 - Clasificacion Zona 1
159,156,2022 - Apertura Zona C
158,155,2022 - Apertura Zona B
157,154,2022 - Apertura Zona A
